Date,Water Station P.17 [m³/s] ,Water Station N.67 [m³/s] ,Water Station C.13 [m³/s] ,Rainfall TCP004 (mm),Rainfall CPY010 (mm),Rainfall 48415 (mm),Rainfall LBI001 (mm),Min_Temp,Max_Temp,relative humidity (%),Water Station C.29A (Target),State
1/1/2020,112,117,90,,,0,0,24.8,35.2,64.50,93,Normal
2/1/2020,99,112,85,,,0,0,23.9,35.5,66.18,91,Normal
3/1/2020,97,116,85,,,0,0.4,22.8,36.9,66.06,92,Normal
4/1/2020,88,132,85,,,0,0.6,23.6,35.4,68.75,92,Normal
5/1/2020,81,141,85,,,0,0.2,23.8,34.3,69.63,90,Normal
6/1/2020,80,133,85,,,0,0,22.8,36.1,70.30,91,Normal
7/1/2020,75,111,85,,,0,0.4,23.3,36.5,70.87,90,Normal
8/1/2020,74,93,100,,,0,0,23.1,37.5,68.62,95,Normal
9/1/2020,72,82,100,,,0,0,24,39,65.51,95,Normal
10/1/2020,72,85,100,,,0,0.4,24.2,36.3,70.77,100,Normal
11/1/2020,70,90,95,,,0,0,26.2,27.4,78.48,109,Normal
12/1/2020,67,84,95,,,0,0,26.3,28.9,76.72,104,Normal
13/1/2020,70,76,95,,,0,0,27.4,27.8,76.80,97,Normal
14/1/2020,72,71,95,,,0,0.2,25.9,28.8,79.56,90,Normal
15/1/2020,75,74,90,,,0,0,25.7,26.6,78.92,84,Normal
16/1/2020,72,76,80,,,0,0.4,25.7,26.5,78.41,78,Normal
17/1/2020,71,78,80,,,0,0,26,26.7,80.43,78,Normal
18/1/2020,,,,,,0,0,25.6,26.3,79.07,,Normal
19/1/2020,66,117,75,,,0,0,25.8,28.3,78.80,73,Normal
20/1/2020,69,129,75,,,0,0,26.4,26.4,73.11,70,Normal
21/1/2020,65,130,75,,,0,0,24.8,35.7,74.75,71,Normal
22/1/2020,67,131,90,,,0,0,25.9,26.4,79.36,72,Normal
23/1/2020,66,133,90,,,0,0,26.5,28.8,78.05,73,Normal
24/1/2020,71,127,90,,,0,0,26.2,27.7,79.19,72,Normal
25/1/2020,75,108,90,,,0,0.2,26.3,27.3,79.55,70,Normal
26/1/2020,,,,,,0,0,23.8,35.9,70.08,,Normal
27/1/2020,70,83,80,,,0,0.2,24,24,65.96,65,Normal
28/1/2020,74,80,75,,,0,0.4,20.5,32.6,63.72,60,Normal
29/1/2020,70,76,75,,,0,0.4,22.6,34.2,69.41,62,Normal
30/1/2020,67,74,75,,,0,0,21.9,34.1,67.80,61,Normal
31/1/2020,66,79,75,,,0,0.2,22.1,33.6,63.03,62,Normal
1/2/2020,69,77,70,,,0,0,21.3,34.4,67.14,60,Normal
2/2/2020,69,74,70,,,0,0,22.5,34.8,69.39,60,Normal
3/2/2020,70,74,70,,,0,0,23.2,33,78.07,60,Normal
4/2/2020,70,77,70,,,0,0.2,24.4,32.9,77.88,60,Normal
5/2/2020,72,78,80,,,0,0,23.8,33.6,76.91,60,Normal
6/2/2020,66,76,90,,,0,0,25.6,25.6,74.93,60,Normal
7/2/2020,63,74,90,,,0,0,27.9,34.4,74.74,60,Normal
8/2/2020,69,74,90,,,0,0.2,24.9,35.3,74.43,60,Normal
9/2/2020,70,74,80,,,0,0,24.6,36.2,66.14,60,Normal
10/2/2020,67,78,80,,,0,0,25.4,36,56.95,60,Normal
11/2/2020,67,84,80,,,0,0.4,27,36.5,60.39,60,Normal
12/2/2020,69,87,80,,,0,0.2,25.5,33.9,73.10,60,Normal
13/2/2020,69,86,80,,,0,0.2,25.8,34.1,73.80,60,Normal
14/2/2020,69,81,80,,,0,0,25.9,34.3,74.11,60,Normal
15/2/2020,71,74,70,,,0,0,24,34.6,60.91,60,Normal
16/2/2020,67,74,70,,,0,0,24.9,34.7,68.95,60,Normal
17/2/2020,63,76,70,,,0,0,23.6,38.3,64.98,60,Normal
18/2/2020,62,71,80,,,0,0,25,34.2,60.23,60,Normal
19/2/2020,63,64,80,,,0,0,24,36,55.97,60,Normal
20/2/2020,66,67,80,,,0,0,24.2,37.4,56.15,60,Normal
21/2/2020,67,76,80,,,0,0,25.5,35.9,51.50,60,Normal
22/2/2020,66,78,80,,,0,0.2,28.4,28.4,50.64,60,Normal
23/2/2020,66,74,70,,,0,0.2,25.2,36.5,52.98,60,Normal
24/2/2020,63,77,70,,,0,0,27.8,30.3,55.38,60,Normal
25/2/2020,63,75,70,,,0,0,23.6,36,64.30,60,Normal
26/2/2020,65,72,70,,,0,0,25,26.8,74.10,60,Normal
27/2/2020,65,72,70,,,0,0,28.1,36.9,73.58,60,Normal
28/2/2020,63,71,70,,,0,0,26.7,35.9,75.68,60,Normal
29/2/2020,63,72,70,,,0,0,25.8,34.8,74.60,60,Normal
1/3/2020,62,75,70,,,0,0,26.4,35.1,73.65,60,Normal
2/3/2020,65,75,70,,,0,0.2,26.7,34.7,73.93,60,Normal
3/3/2020,67,72,70,,,0,0,26.4,34.9,73.77,60,Normal
4/3/2020,62,71,70,,,0,0,26.6,35.2,71.59,60,Normal
5/3/2020,65,76,80,,,0,0,26.9,35.4,72.93,60,Normal
6/3/2020,65,78,80,,,0,0.4,27.1,35.4,70.10,60,Normal
7/3/2020,63,81,80,,,0,0,26.7,35.3,72.04,60,Normal
8/3/2020,63,86,80,,,0,0,26.3,37.2,68.08,60,Normal
9/3/2020,65,89,70,,,0,0.2,26.3,39.5,65.41,60,Normal
10/3/2020,66,86,70,,,0,0.2,26.3,38.3,68.78,60,Normal
11/3/2020,67,84,70,,,0,0.6,26,37.8,67.08,60,Normal
12/3/2020,66,82,70,,,0,0,26.9,36.6,73.17,60,Normal
13/3/2020,63,75,70,,,0,0.2,27,38.8,72.63,60,Normal
14/3/2020,62,72,70,,,0.9,0.2,28.1,37.9,72.54,60,Normal
15/3/2020,61,70,70,,,81.3,46.8,23.4,29.6,89.35,60,Normal
16/3/2020,65,69,70,,,0,0.2,23.6,33.7,81.28,60,Normal
17/3/2020,66,70,70,,,0,0.4,26.6,34.6,78.53,60,Normal
18/3/2020,65,72,70,,,0,0.8,26.6,34.8,77.43,60,Normal
19/3/2020,62,73,70,,,0,0.8,27.2,34.5,76.43,60,Normal
20/3/2020,63,74,70,,,0.01,22.6,25.5,33.2,76.22,60,Normal
21/3/2020,65,75,70,,,0,0,26.7,35.1,73.13,60,Normal
22/3/2020,63,74,70,,,0,0,26.4,35.3,72.31,60,Normal
23/3/2020,63,74,70,,,0,0.4,26.9,36.1,71.54,60,Normal
24/3/2020,63,74,70,,,0,0.4,26.6,36,72.07,60,Normal
25/3/2020,62,70,70,,,0,1,26.2,34.6,74.27,60,Normal
26/3/2020,,,,,,0,0.4,26.3,36.2,69.54,,Normal
27/3/2020,63,70,70,,,0,0.4,26.6,37,69.58,60,Normal
28/3/2020,63,72,70,,,0,0,27,37,68.90,60,Normal
29/3/2020,63,77,70,,,0,0,26.8,36.7,72.53,60,Normal
30/3/2020,62,76,70,,,0,0.2,27,36.5,55.05,60,Normal
31/3/2020,62,76,70,,,0,0,27.6,36.7,57.66,60,Normal
1/4/2020,65,78,70,,,0,0.4,27.6,36.6,56.37,60,Normal
2/4/2020,66,77,70,,,0,0.2,27.7,36.6,60.83,60,Normal
3/4/2020,66,79,70,,,0,0.2,27.5,36.3,66.02,60,Normal
4/4/2020,69,81,80,,,0,1,27.7,38.8,61.25,60,Normal
